"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"21979","JUICERS","blue","parka",2,3,2,6,1083,4,3,0.895234626113538
"21980","TEAM LIQUID","orange","Atow.",3,5,6,8,1515,5,6,1.30725223798114
"21981","TEAM LIQUID","orange","AcroniK.",3,0,3,8,1169,2,10,0.803424708194233
"21982","TEAM LIQUID","orange","Oski",4,2,4,10,1320,6,5,0.991169720078503
"21983","MISFITS GAMING","blue","Kash",2,1,6,14,1563,6,3,0.791131077575182
"21984","MISFITS GAMING","blue","Mittaen",5,1,7,16,1752,9,5,1.28681724924773
"21985","MISFITS GAMING","blue","arju",2,4,5,11,1438,1,3,1.03278860479173
"21986","SK GAMING","orange","Kérian",2,1,9,15,1614,3,6,0.893738542792936
"21987","SK GAMING","orange","fruity",2,3,9,4,1621,4,3,1.13572411293574
"21988","SK GAMING","orange","Ekon",2,2,7,8,1516,4,7,0.911874946923031
"21989","WYLDE","blue","Crispy",2,3,7,10,1359,4,3,1.18659094492038
"21990","WYLDE","blue","simas",3,1,4,14,1034,2,3,1.02825018060274
"21991","WYLDE","blue","accro",4,2,7,10,1533,9,3,1.4712311348177
"21992","GROS NOOBZ","orange","Yukiss",2,1,7,7,1140,5,6,1.0095516465115
"21993","GROS NOOBZ","orange","WhiiskyDrink",0,0,4,6,684,1,3,0.312790371462498
"21994","GROS NOOBZ","orange","Gekk",1,1,9,9,1043,3,6,0.940990616450462
"21995","NATUS VINCERE","blue","LuiisP",1,0,5,13,1079,7,3,0.647346488480729
"21996","NATUS VINCERE","blue","virtuoso",2,3,3,9,1187,1,1,1.13562938589067
"21997","NATUS VINCERE","blue","Tigreee",4,1,4,12,1303,2,3,1.32585173563269
"21998","WILLIAMS RESOLVE","orange","Stake",0,3,9,7,1445,0,4,1.00926631628809
"21999","WILLIAMS RESOLVE","orange","pryyme",3,0,4,7,1194,5,3,1.01561028454621
"22000","WILLIAMS RESOLVE","orange","Rix_Ronday",0,0,7,7,934,2,3,0.452169549146581
"22001","THE BRICKS","blue","Rxii",2,2,8,10,1723,4,4,0.926259219970566
"22002","THE BRICKS","blue","Growlii",3,2,9,8,1787,8,5,1.0879903369632
"22003","THE BRICKS","blue","Speed",2,1,11,15,1825,2,3,0.929070063136101
"22004","MISFITS GAMING","orange","arju",5,2,7,15,1983,4,5,1.35077617073618
"22005","MISFITS GAMING","orange","Kash",3,4,4,23,1644,5,5,1.22620758167772
"22006","MISFITS GAMING","orange","Mittaen",2,2,9,10,1704,3,4,1.02693967615244
"22007","JUICERS","blue","parka",3,2,7,9,1488,5,5,1.13062397597274
"22008","JUICERS","blue","Forece",4,1,6,13,1370,5,7,1.01973396368373
"22009","JUICERS","blue","juicy",1,2,9,9,1407,8,2,0.745035903113968
"22010","NATUS VINCERE","orange","LuiisP",4,2,4,14,1439,9,3,1.08014324368791
"22011","NATUS VINCERE","orange","Tigreee",1,5,2,14,1084,1,7,0.873981936258279
"22012","NATUS VINCERE","orange","virtuoso",6,2,9,15,2005,4,8,1.48366080302176
"22013","GUILD ESPORTS","blue","Dorito",2,2,17,5,2187,6,5,1.20165189022805
"22014","GUILD ESPORTS","blue","Deevo",3,2,6,10,1267,1,6,0.927571607502006
"22015","GUILD ESPORTS","blue","crr",6,1,3,17,1581,2,6,1.226818197841
"22016","WYLDE","orange","accro",2,2,6,16,1378,7,3,0.859229312381591
"22017","WYLDE","orange","Crispy",3,2,6,15,1478,3,3,1.03405360866014
"22018","WYLDE","orange","simas",2,2,8,10,1408,7,3,0.920279433718002
"22019","ATYPICAL","blue","treulha",6,0,10,10,1956,8,2,1.29288965128168
"22020","ATYPICAL","blue","Sobral",5,6,3,9,1730,4,3,1.58686494983483
"22021","ATYPICAL","blue","SrNaniiTou",3,6,7,16,1707,10,4,1.32752478797236
"22022","FLEXIBILITY","orange","TaTu",4,0,7,14,1509,0,3,1.02022080607993
"22023","FLEXIBILITY","orange","Mathz",2,4,7,10,1645,6,8,1.06998152260838
"22024","FLEXIBILITY","orange","Manteca",3,3,2,9,1214,3,11,1.07913968556849
"22025","NOVUS AEVI","blue","Royales",6,3,7,11,1687,7,1,1.80178833745443
"22026","NOVUS AEVI","blue","brad",3,8,2,9,1413,0,1,1.73891712623911
"22027","NOVUS AEVI","blue","tander",5,2,5,12,1347,5,2,1.42537452309483
"22028","BAD PHASE","orange","DylaN",1,3,5,7,984,1,3,0.967499816455761
"22029","BAD PHASE","orange","speedhack",0,1,7,7,790,1,4,0.564193720918782
"22030","BAD PHASE","orange","caden",4,0,4,12,1152,2,5,1.16728729107254
"22031","TRUE NEUTRAL","blue","klawzt",2,2,6,7,1229,4,4,1.03249080765592
"22032","TRUE NEUTRAL","blue","Seck",4,2,3,13,1362,4,2,1.34760458473263
"22033","TRUE NEUTRAL","blue","Navarro",1,1,1,7,609,3,1,0.655600411307923
"22034","BLESSED","orange","roods",0,2,8,3,1201,2,2,0.707449438804599
"22035","BLESSED","orange","baait",1,0,3,4,674,3,2,0.456114806358738
"22036","BLESSED","orange","canom",1,0,6,6,838,2,7,0.569364664649625
